album_name,interval,singer_name,song_name
来迟,233,戴羽彤,来迟
记忆停留,174,蓝心羽,记忆停留
少年时代,282,时代少年团,少年时代
奔赴星空,203,尹昔眠,奔赴星空
别错过,169,程jiajia,别错过
落海,229,任然,落海
1201牵手-比尔的歌,185,Bomb比尔,1201牵手-比尔的歌
后续,178,杨吉露,后续
青春有你3 第18期,187,草鱼BoogieFish,Way Up (命中) (Live)
等待,156,lambert,等待
金曲青春 第3期,274,硬糖少女303陈卓璇,我敢 (Live)
光,236,梦然,光
100天,240,林俊杰,爱不会绝迹
陪着你长大 (特别版),237,佟大为,陪着你长大 (特别版)
即刻,257,joysaaaa,即刻
大人梦,290,黄旭,大人梦
嘉宾,333,张远,嘉宾
为歌而赞 第5期,240,张碧晨,星空剪影 (Live)
DNA,170,PANTHEPACK,DNA
软肋,257,李宇春,软肋
小宇,269,蓝心羽,小宇
有人赴约,248,剑网3,有人赴约
2021精选单曲,211,藤柒吖,2021精选单曲
从未,233,戴羽彤,从未
如何不再让我去想你,229,井迪儿,如何不再让我去想你
为歌而赞 第6期,234,廖敏冲,明天会更好 (Live)
分身,243,单依纯,分身
王招君,255,任素汐,王招君
南下专线,278,李宗盛,给自己的歌
仪式感,293,Li-2c,仪式感
相隔银河系,226,水调歌头,相隔银河系
7710,194,好乐无荒,7710
世界奇妙物语,189,Tizzy T,世界奇妙物语
热爱105°C的你,195,阿肆,热爱105°C的你
"从前,后来",252,叶匡衡,"从前,后来"
青春有你3 第17期,232,段星星,沙溺 (Live)
是我的错,231,王佳杨,是我的错
Kura Kura,227,TWICE (트와이스),Kura Kura
笑柄,232,陈小满,笑柄
明日之子 第7期,179,毛不易,消愁 (Live)
完美降落,137,胡期皓,完美降落
下雨天,248,R1SE夏之光,下雨天
分你一半,195,不是花火呀,分你一半
天赐的声音第二季 第8期,342,胡彦斌,你不像她 (Live)
火花,254,毛不易,火花
失恋不怪她阵线联盟 (完整版）,157,拾贰,失恋不怪她阵线联盟
嫌晚,161,徐梓淳,嫌晚
青春有你3 第17期,208,陈俊豪,驯化者 (Live)
回声,305,那英,回声
范特西,234,周杰伦,爱在西元前
EPSILON,188,THE9-刘雨昕,Of Course
我很忙,263,周杰伦,彩虹
王牌对王牌第六季 第12期,154,余景天,下个，路口，见 (Live)
风吹过,189,鹿晗,风吹过 (Gone With The Wind)
EPSILON,251,THE9-刘雨昕,练习曲
关于我你能想到什么,169,江楚依,关于我你能想到什么
星空剪影,197,蓝心羽,星空剪影
EPSILON,230,THE9-刘雨昕,U&I
长安走马,172,伊格赛听,长安走马
落海,202,任然,感情作家
活在回忆里,206,李乐乐,活在回忆里
也无风雨也无你,184,郑大钱,也无风雨也无你 
风过谢桃花,194,司南,风过谢桃花
无处话悲凉,210,尹昔眠,无处话悲凉
爱人错过,208,宋宇苗,爱人错过
为歌而赞 第6期,261,张碧晨,在梦，在醒 (Live)
八小时时差,203,郑鱼,八小时时差
为歌而赞 第6期,253,胡彦斌,浪子闲话 (Live)
呼吸定律,247,耗子,呼吸定律
我害怕鬼,183,段兴华,我害怕鬼
跨时代,256,周杰伦,雨下一整晚
Trip,197,李天泽,Trip
无疾而终,243,旺仔小乔,无疾而终
鸳鸯海棠,164,张晓涵,鸳鸯海棠 (childhood dreams中文版)
El Dorado (Explicit),140,24KGoldn,Mood (Explicit)
坏女孩 (Bad Girl),139,BY2,坏女孩 (Bad Girl)
父亲写的散文诗,228,许飞,父亲写的散文诗 (时光版)
剥离之茧,210,添儿呗,剥离之茧
十一月的萧邦,226,周杰伦,夜曲
If I Am...,306,Mr.,森林
LaLa首张创作专辑,299,徐佳莹,失落沙洲
十二新作,260,周杰伦,明明就
野摩托,201,郭镐鸣,野摩托
夏天的风,242,蓝心羽,夏天的风
西游记 电视剧配乐原声,110,吴静,女儿情
城堡,266,蔡依林,倒带
十二新作,242,周杰伦,大笨钟
寂寞烟火,252,蓝心羽,寂寞烟火
野摩托,165,郭镐鸣,野摩托(Dj阿卓版）
Can you feel my heart,236,仓木麻衣 (くらき まい),Can you feel my heart
水星记,325,郭顶,水星记
向宿命挥拳的人,240,阿云嘎,向宿命挥拳的人
青春有你3 第18期,219,常华森,竹 (Live)
心存侥幸,233,赵登凯,心存侥幸
清算,190,苏晗,清算
Jay,258,周杰伦,反方向的钟
2015江苏卫视新年演唱会,288,筷子兄弟,老男孩 (Live)
落海,254,任然,大梦方醒
贩卖日落,185,蓝心羽,贩卖日落
Baby Shark,100,Foozlebots,Baby Shark
